protein	scaffold	AMG KO	AMG KO name	Pfam	Pfam name
metaspades_NG-13040_916T2L_lib194712_5429_NODE_6_length_78641_cov_108.455_64	metaspades_NG-13040_916T2L_lib194712_5429_NODE_6_length_78641_cov_108.455	K03183	"ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"		
metaspades_NG-13040_916T2L_lib194712_5429_NODE_6_length_78641_cov_108.455_65	metaspades_NG-13040_916T2L_lib194712_5429_NODE_6_length_78641_cov_108.455	K03183	"ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"		
metaspades_NG-14069_925T8_lib221226_5627_NODE_354_length_59808_cov_18.6169_4	metaspades_NG-14069_925T8_lib221226_5627_NODE_354_length_59808_cov_18.6169	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_918T8_lib221219_5627_NODE_422_length_33854_cov_10.856_40	metaspades_NG-14069_918T8_lib221219_5627_NODE_422_length_33854_cov_10.856	K01771	plc; 1-phosphatidylinositol phosphodiesterase [EC:4.6.1.13]		
metaspades_NG-14069_GD_lib221227_5627_NODE_3343_length_7645_cov_20.843_8	metaspades_NG-14069_GD_lib221227_5627_NODE_3343_length_7645_cov_20.843	K07407	"E3.2.1.22B, galA, rafA; alpha-galactosidase [EC:3.2.1.22]"	PF16499.5	Alpha galactosidase A
metaspades_NG-13040_919T1L_lib194741_5429_NODE_224_length_11480_cov_7.48639_11	metaspades_NG-13040_919T1L_lib194741_5429_NODE_224_length_11480_cov_7.48639	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-14069_916T8_lib219930_5627_NODE_3155_length_5881_cov_36.4561_5	metaspades_NG-14069_916T8_lib219930_5627_NODE_3155_length_5881_cov_36.4561	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_925T8_lib221226_5627_NODE_5826_length_6487_cov_5.919_6	metaspades_NG-14069_925T8_lib221226_5627_NODE_5826_length_6487_cov_5.919	K17717	pld; phospholipase D [EC:3.1.4.4]	PF13091.6	PLD-like domain
metaspades_NG-14069_GD_lib221227_5627_NODE_875_length_19135_cov_6.88601_12	metaspades_NG-14069_GD_lib221227_5627_NODE_875_length_19135_cov_6.88601	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_919T1L_lib194741_5429_NODE_217_length_11660_cov_8.19966_14	metaspades_NG-13040_919T1L_lib194741_5429_NODE_217_length_11660_cov_8.19966	K19002	"mgs, bgsB; 1,2-diacylglycerol 3-alpha-glucosyltransferase [EC:2.4.1.337]"		
metaspades_NG-13040_921T1L_lib194731_5429_NODE_188_length_22504_cov_4.4757_1	metaspades_NG-13040_921T1L_lib194731_5429_NODE_188_length_22504_cov_4.4757	K01939	"purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]"	PF00709.21	Adenylosuccinate synthetase
metaspades_NG-13040_921T1L_lib194731_5429_NODE_188_length_22504_cov_4.4757_10	metaspades_NG-13040_921T1L_lib194731_5429_NODE_188_length_22504_cov_4.4757	K02078	acpP; acyl carrier protein		
metaspades_NG-14069_919T8_lib221220_5627_NODE_2558_length_18686_cov_30.9704_7	metaspades_NG-14069_919T8_lib221220_5627_NODE_2558_length_18686_cov_30.9704	K01951	"guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"	PF00958.22	GMP synthase C terminal domain
metaspades_NG-13040_918T3L_lib194736_5429_NODE_25_length_48733_cov_9.35768_46	metaspades_NG-13040_918T3L_lib194736_5429_NODE_25_length_48733_cov_9.35768	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_918T3L_lib194736_5429_NODE_25_length_48733_cov_9.35768_58	metaspades_NG-13040_918T3L_lib194736_5429_NODE_25_length_48733_cov_9.35768	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-14069_925T8_lib221226_5627_NODE_15489_length_3145_cov_4.54951_2	metaspades_NG-14069_925T8_lib221226_5627_NODE_15489_length_3145_cov_4.54951	K02078	acpP; acyl carrier protein		
metaspades_NG-13376_925T8_lib202049_5478_NODE_8_length_50259_cov_16.0755_41	metaspades_NG-13376_925T8_lib202049_5478_NODE_8_length_50259_cov_16.0755	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13376_925T8_lib202049_5478_NODE_8_length_50259_cov_16.0755_42	metaspades_NG-13376_925T8_lib202049_5478_NODE_8_length_50259_cov_16.0755	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13376_925T8_lib202049_5478_NODE_8_length_50259_cov_16.0755_61	metaspades_NG-13376_925T8_lib202049_5478_NODE_8_length_50259_cov_16.0755	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"		
metaspades_NG-13040_925T3L_lib194729_5429_NODE_1281_length_9833_cov_4.94641_9	metaspades_NG-13040_925T3L_lib194729_5429_NODE_1281_length_9833_cov_4.94641	K05714	"mhpC; 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase [EC:3.7.1.14]"	PF00561.20	alpha/beta hydrolase fold
metaspades_NG-14069_919T8_lib221220_5627_NODE_16115_length_3440_cov_3.33708_1	metaspades_NG-14069_919T8_lib221220_5627_NODE_16115_length_3440_cov_3.33708	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13376_922T6_lib202052_5478_NODE_63_length_7639_cov_3.51951_11	metaspades_NG-13376_922T6_lib202052_5478_NODE_63_length_7639_cov_3.51951	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"	PF00266.19	Aminotransferase class-V
metaspades_NG-13376_916T11_lib202092_5478_NODE_1_length_166687_cov_169.221_153	metaspades_NG-13376_916T11_lib202092_5478_NODE_1_length_166687_cov_169.221	K01939	"purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]"	PF00709.21	Adenylosuccinate synthetase
metaspades_NG-15813_GD3A_lib254057_5916_NODE_725_length_4708_cov_5.42446_1	metaspades_NG-15813_GD3A_lib254057_5916_NODE_725_length_4708_cov_5.42446	K00108	"betA, CHDH; choline dehydrogenase [EC:1.1.99.1]"	PF00732.19	GMC oxidoreductase
metaspades_NG-13040_923T2L_lib194718_5429_NODE_949_length_3391_cov_5.90857_1	metaspades_NG-13040_923T2L_lib194718_5429_NODE_949_length_3391_cov_5.90857	K00925	ackA; acetate kinase [EC:2.7.2.1]	PF00871.17	Acetokinase family
metaspades_NG-14069_920T8_lib221221_5627_NODE_1636_length_8565_cov_7.84418_11	metaspades_NG-14069_920T8_lib221221_5627_NODE_1636_length_8565_cov_7.84418	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_925T3L_lib194729_5429_NODE_157_length_39748_cov_27.1844_5	metaspades_NG-13040_925T3L_lib194729_5429_NODE_157_length_39748_cov_27.1844	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_925T3L_lib194729_5429_NODE_157_length_39748_cov_27.1844_14	metaspades_NG-13040_925T3L_lib194729_5429_NODE_157_length_39748_cov_27.1844	K15634	gpmB; probable phosphoglycerate mutase [EC:5.4.2.12]	PF00300.22	Histidine phosphatase superfamily (branch 1)
metaspades_NG-13040_925T3L_lib194729_5429_NODE_157_length_39748_cov_27.1844_21	metaspades_NG-13040_925T3L_lib194729_5429_NODE_157_length_39748_cov_27.1844	K05934	"E2.1.1.131, cobJ, cbiH; precorrin-3B C17-methyltransferase [EC:2.1.1.131]"	PF00590.20	Tetrapyrrole (Corrin/Porphyrin) Methylases
metaspades_NG-14069_923T8_lib221224_5627_NODE_1414_length_15777_cov_5.37292_9	metaspades_NG-14069_923T8_lib221224_5627_NODE_1414_length_15777_cov_5.37292	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-14069_919T8_lib221220_5627_NODE_19613_length_2917_cov_12.1726_5	metaspades_NG-14069_919T8_lib221220_5627_NODE_19613_length_2917_cov_12.1726	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"		
metaspades_NG-14069_919T8_lib221220_5627_NODE_15090_length_3641_cov_2.80201_3	metaspades_NG-14069_919T8_lib221220_5627_NODE_15090_length_3641_cov_2.80201	K07258	"dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]"	PF00768.20	D-alanyl-D-alanine carboxypeptidase
metaspades_NG-14069_918T8_lib221219_5627_NODE_2137_length_5954_cov_4.4455_8	metaspades_NG-14069_918T8_lib221219_5627_NODE_2137_length_5954_cov_4.4455	K17398	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]		
metaspades_NG-14069_918T8_lib221219_5627_NODE_2137_length_5954_cov_4.4455_9	metaspades_NG-14069_918T8_lib221219_5627_NODE_2137_length_5954_cov_4.4455	K17398	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_919T8_lib221220_5627_NODE_12221_length_4364_cov_3.21119_2	metaspades_NG-14069_919T8_lib221220_5627_NODE_12221_length_4364_cov_3.21119	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"	PF00266.19	Aminotransferase class-V
metaspades_NG-14069_922T8_lib221223_5627_NODE_6725_length_4681_cov_4.92974_2	metaspades_NG-14069_922T8_lib221223_5627_NODE_6725_length_4681_cov_4.92974	K00938	"E2.7.4.2, mvaK2; phosphomevalonate kinase [EC:2.7.4.2]"		
metaspades_NG-14069_922T8_lib221223_5627_NODE_6725_length_4681_cov_4.92974_6	metaspades_NG-14069_922T8_lib221223_5627_NODE_6725_length_4681_cov_4.92974	K01916	nadE; NAD+ synthase [EC:6.3.1.5]	PF02540.17	NAD synthase
metaspades_NG-14069_919T8_lib221220_5627_NODE_9206_length_5590_cov_5.05673_5	metaspades_NG-14069_919T8_lib221220_5627_NODE_9206_length_5590_cov_5.05673	K01924	murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	PF08245.12	Mur ligase middle domain
metaspades_NG-13376_922T10_lib202054_5478_NODE_137_length_5827_cov_6.68191_1	metaspades_NG-13376_922T10_lib202054_5478_NODE_137_length_5827_cov_6.68191	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-14069_922T8_lib221223_5627_NODE_5391_length_5428_cov_3.37018_12	metaspades_NG-14069_922T8_lib221223_5627_NODE_5391_length_5428_cov_3.37018	K00873	"PK, pyk; pyruvate kinase [EC:2.7.1.40]"	PF02887.16	"Pyruvate kinase, alpha/beta domain"
metaspades_NG-14069_GD_lib221227_5627_NODE_3331_length_7666_cov_7.39088_1	metaspades_NG-14069_GD_lib221227_5627_NODE_3331_length_7666_cov_7.39088	K00957	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]		
metaspades_NG-14069_GD_lib221227_5627_NODE_3331_length_7666_cov_7.39088_2	metaspades_NG-14069_GD_lib221227_5627_NODE_3331_length_7666_cov_7.39088	K00956	cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]	PF00009.27	Elongation factor Tu GTP binding domain
metaspades_NG-14069_GD_lib221227_5627_NODE_3331_length_7666_cov_7.39088_3	metaspades_NG-14069_GD_lib221227_5627_NODE_3331_length_7666_cov_7.39088	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-13040_916T3L_lib194728_5429_NODE_416_length_4806_cov_2.89055_1	metaspades_NG-13040_916T3L_lib194728_5429_NODE_416_length_4806_cov_2.89055	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_922T8_lib221223_5627_NODE_4798_length_5870_cov_3.85795_8	metaspades_NG-14069_922T8_lib221223_5627_NODE_4798_length_5870_cov_3.85795	K01756	"purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]"	PF00206.20	Lyase
metaspades_NG-14069_920T8_lib221221_5627_NODE_3728_length_4834_cov_4.85143_5	metaspades_NG-14069_920T8_lib221221_5627_NODE_3728_length_4834_cov_4.85143	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_916T8_lib219930_5627_NODE_5060_length_4197_cov_6.91381_1	metaspades_NG-14069_916T8_lib219930_5627_NODE_5060_length_4197_cov_6.91381	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"	PF12706.7	Beta-lactamase superfamily domain
metaspades_NG-13040_916T5L_lib194717_5429_NODE_611_length_3298_cov_4.92812_8	metaspades_NG-13040_916T5L_lib194717_5429_NODE_611_length_3298_cov_4.92812	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_924T8_lib221225_5627_NODE_16_length_85948_cov_39.3764_41	metaspades_NG-14069_924T8_lib221225_5627_NODE_16_length_85948_cov_39.3764	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_925T5L_lib194726_5429_NODE_14_length_39067_cov_14.9602_42	metaspades_NG-13040_925T5L_lib194726_5429_NODE_14_length_39067_cov_14.9602	K19668	"CBH2, cbhA; cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]"	PF12810.7	Glycine rich protein
metaspades_NG-13376_919T12_lib202099_5478_NODE_9_length_53986_cov_8.33524_18	metaspades_NG-13376_919T12_lib202099_5478_NODE_9_length_53986_cov_8.33524	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-14069_919T8_lib221220_5627_NODE_1372_length_32156_cov_9.12691_6	metaspades_NG-14069_919T8_lib221220_5627_NODE_1372_length_32156_cov_9.12691	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_925T8_lib221226_5627_NODE_828_length_32066_cov_7.10356_3	metaspades_NG-14069_925T8_lib221226_5627_NODE_828_length_32066_cov_7.10356	K05349	bglX; beta-glucosidase [EC:3.2.1.21]	PF00933.21	Glycosyl hydrolase family 3 N terminal domain
metaspades_NG-14069_925T8_lib221226_5627_NODE_3297_length_9881_cov_15.0233_4	metaspades_NG-14069_925T8_lib221226_5627_NODE_3297_length_9881_cov_15.0233	K03476	ulaG; L-ascorbate 6-phosphate lactonase [EC:3.1.1.-]	PF12706.7	Beta-lactamase superfamily domain
metaspades_NG-14069_925T8_lib221226_5627_NODE_3297_length_9881_cov_15.0233_5	metaspades_NG-14069_925T8_lib221226_5627_NODE_3297_length_9881_cov_15.0233	K22185	xylB; D-xylose 1-dehydrogenase [EC:1.1.1.175]	PF13561.6	Enoyl-(Acyl carrier protein) reductase
metaspades_NG-14069_925T8_lib221226_5627_NODE_3297_length_9881_cov_15.0233_6	metaspades_NG-14069_925T8_lib221226_5627_NODE_3297_length_9881_cov_15.0233	K00008	"SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]"	PF08240.12	Alcohol dehydrogenase GroES-like domain
metaspades_NG-14069_925T8_lib221226_5627_NODE_3297_length_9881_cov_15.0233_7	metaspades_NG-14069_925T8_lib221226_5627_NODE_3297_length_9881_cov_15.0233	K00845	glk; glucokinase [EC:2.7.1.2]	PF00480.20	ROK family
metaspades_NG-14069_922T8_lib221223_5627_NODE_4099_length_6514_cov_5.68292_13	metaspades_NG-14069_922T8_lib221223_5627_NODE_4099_length_6514_cov_5.68292	K00616	"E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]"		
metaspades_NG-14069_922T8_lib221223_5627_NODE_4099_length_6514_cov_5.68292_14	metaspades_NG-14069_922T8_lib221223_5627_NODE_4099_length_6514_cov_5.68292	K00616	"E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]"	PF00923.19	Transaldolase/Fructose-6-phosphate aldolase
metaspades_NG-14069_922T8_lib221223_5627_NODE_6909_length_4599_cov_3.94322_1	metaspades_NG-14069_922T8_lib221223_5627_NODE_6909_length_4599_cov_3.94322	K00652	bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]	PF00155.21	Aminotransferase class I and II
metaspades_NG-13040_923T3L_lib194737_5429_NODE_1_length_142976_cov_24.5041_24	metaspades_NG-13040_923T3L_lib194737_5429_NODE_1_length_142976_cov_24.5041	K01491	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	PF02882.19	"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain"
metaspades_NG-13040_923T3L_lib194737_5429_NODE_1_length_142976_cov_24.5041_118	metaspades_NG-13040_923T3L_lib194737_5429_NODE_1_length_142976_cov_24.5041	K00287	"DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]"	PF00186.19	Dihydrofolate reductase
metaspades_NG-13040_923T3L_lib194737_5429_NODE_1_length_142976_cov_24.5041_147	metaspades_NG-13040_923T3L_lib194737_5429_NODE_1_length_142976_cov_24.5041	K01916	nadE; NAD+ synthase [EC:6.3.1.5]	PF02540.17	NAD synthase
metaspades_NG-13040_923T3L_lib194737_5429_NODE_1_length_142976_cov_24.5041_149	metaspades_NG-13040_923T3L_lib194737_5429_NODE_1_length_142976_cov_24.5041	K03462	NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]	PF04095.16	Nicotinate phosphoribosyltransferase (NAPRTase) family
metaspades_NG-13040_923T3L_lib194737_5429_NODE_1_length_142976_cov_24.5041_151	metaspades_NG-13040_923T3L_lib194737_5429_NODE_1_length_142976_cov_24.5041	K08281	pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]	PF00857.20	Isochorismatase family
metaspades_NG-13040_923T3L_lib194737_5429_NODE_1_length_142976_cov_24.5041_167	metaspades_NG-13040_923T3L_lib194737_5429_NODE_1_length_142976_cov_24.5041	K09882	cobS; cobaltochelatase CobS [EC:6.6.1.2]	PF07728.14	AAA domain (dynein-related subfamily)
metaspades_NG-14069_925T8_lib221226_5627_NODE_13447_length_3490_cov_4.07773_1	metaspades_NG-14069_925T8_lib221226_5627_NODE_13447_length_3490_cov_4.07773	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"	PF00266.19	Aminotransferase class-V
metaspades_NG-14069_919T8_lib221220_5627_NODE_3111_length_15622_cov_29.7835_9	metaspades_NG-14069_919T8_lib221220_5627_NODE_3111_length_15622_cov_29.7835	K21064	"ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"	PF08282.12	haloacid dehalogenase-like hydrolase
metaspades_NG-14069_919T8_lib221220_5627_NODE_3111_length_15622_cov_29.7835_13	metaspades_NG-14069_919T8_lib221220_5627_NODE_3111_length_15622_cov_29.7835	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-15813_920T4L_lib254044_5916_NODE_5_length_63824_cov_25.2626_17	metaspades_NG-15813_920T4L_lib254044_5916_NODE_5_length_63824_cov_25.2626	K01243	"mtnN, mtn, pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9]"	PF01048.20	Phosphorylase superfamily
metaspades_NG-15813_920T4L_lib254044_5916_NODE_5_length_63824_cov_25.2626_23	metaspades_NG-15813_920T4L_lib254044_5916_NODE_5_length_63824_cov_25.2626	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	PF02773.16	"S-adenosylmethionine synthetase, C-terminal domain"
metaspades_NG-14069_923T8_lib221224_5627_NODE_9474_length_4129_cov_2.79283_5	metaspades_NG-14069_923T8_lib221224_5627_NODE_9474_length_4129_cov_2.79283	K01885	"EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]"	PF00749.21	"tRNA synthetases class I (E and Q), catalytic domain"
metaspades_NG-14069_925T8_lib221226_5627_NODE_12803_length_3621_cov_4.76809_1	metaspades_NG-14069_925T8_lib221226_5627_NODE_12803_length_3621_cov_4.76809	K13522	"K13522, nadM; bifunctional NMN adenylyltransferase/nudix hydrolase [EC:2.7.7.1 3.6.1.-]"	PF00293.28	NUDIX domain
metaspades_NG-14069_925T8_lib221226_5627_NODE_9107_length_4677_cov_7.93682_2	metaspades_NG-14069_925T8_lib221226_5627_NODE_9107_length_4677_cov_7.93682	K01784	"galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]"	PF16363.5	"GDP-mannose 4,6 dehydratase"
metaspades_NG-14069_925T8_lib221226_5627_NODE_9107_length_4677_cov_7.93682_5	metaspades_NG-14069_925T8_lib221226_5627_NODE_9107_length_4677_cov_7.93682	K00059	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	PF13561.6	Enoyl-(Acyl carrier protein) reductase
metaspades_NG-14069_923T8_lib221224_5627_NODE_192_length_63562_cov_10.8591_46	metaspades_NG-14069_923T8_lib221224_5627_NODE_192_length_63562_cov_10.8591	K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]	PF13489.6	Methyltransferase domain
metaspades_NG-14069_GD_lib221227_5627_NODE_4527_length_6036_cov_4.68835_4	metaspades_NG-14069_GD_lib221227_5627_NODE_4527_length_6036_cov_4.68835	K07258	"dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]"	PF00768.20	D-alanyl-D-alanine carboxypeptidase
metaspades_NG-14069_921T8_lib221222_5627_NODE_7249_length_1799_cov_4.9914_1	metaspades_NG-14069_921T8_lib221222_5627_NODE_7249_length_1799_cov_4.9914	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_919T8_lib221220_5627_NODE_15806_length_3500_cov_4.95269_3	metaspades_NG-14069_919T8_lib221220_5627_NODE_15806_length_3500_cov_4.95269	K01424	"E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]"	PF00710.20	"Asparaginase, N-terminal"
metaspades_NG-14069_921T8_lib221222_5627_NODE_631_length_11517_cov_6.48901_3	metaspades_NG-14069_921T8_lib221222_5627_NODE_631_length_11517_cov_6.48901	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	PF02773.16	"S-adenosylmethionine synthetase, C-terminal domain"
metaspades_NG-14069_918T8_lib221219_5627_NODE_547_length_25119_cov_7.11139_1	metaspades_NG-14069_918T8_lib221219_5627_NODE_547_length_25119_cov_7.11139	K15024	K15024; putative phosphotransacetylase [EC:2.3.1.8]	PF06130.12	Phosphate propanoyltransferase
metaspades_NG-13376_920T8_lib202048_5478_NODE_3_length_86521_cov_164.132_14	metaspades_NG-13376_920T8_lib202048_5478_NODE_3_length_86521_cov_164.132	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"		
metaspades_NG-14069_923T8_lib221224_5627_NODE_1_length_515849_cov_31.2426_fragment_3_265	metaspades_NG-14069_923T8_lib221224_5627_NODE_1_length_515849_cov_31.2426_fragment_3	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"		
metaspades_NG-14069_923T8_lib221224_5627_NODE_1_length_515849_cov_31.2426_fragment_3_266	metaspades_NG-14069_923T8_lib221224_5627_NODE_1_length_515849_cov_31.2426_fragment_3	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_923T8_lib221224_5627_NODE_1_length_515849_cov_31.2426_fragment_4_284	metaspades_NG-14069_923T8_lib221224_5627_NODE_1_length_515849_cov_31.2426_fragment_4	K02078	acpP; acyl carrier protein	PF00550.25	Phosphopantetheine attachment site
metaspades_NG-14069_923T8_lib221224_5627_NODE_1_length_515849_cov_31.2426_fragment_4_285	metaspades_NG-14069_923T8_lib221224_5627_NODE_1_length_515849_cov_31.2426_fragment_4	K03621	plsX; phosphate acyltransferase [EC:2.3.1.274]	PF02504.15	Fatty acid synthesis protein
metaspades_NG-14069_919T8_lib221220_5627_NODE_108_length_159169_cov_15.5253_fragment_2_70	metaspades_NG-14069_919T8_lib221220_5627_NODE_108_length_159169_cov_15.5253_fragment_2	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_919T8_lib221220_5627_NODE_108_length_159169_cov_15.5253_fragment_2_85	metaspades_NG-14069_919T8_lib221220_5627_NODE_108_length_159169_cov_15.5253_fragment_2	K05396	dcyD; D-cysteine desulfhydrase [EC:4.4.1.15]		
metaspades_NG-14069_919T8_lib221220_5627_NODE_108_length_159169_cov_15.5253_fragment_2_131	metaspades_NG-14069_919T8_lib221220_5627_NODE_108_length_159169_cov_15.5253_fragment_2	K00031	"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"	PF00180.20	Isocitrate/isopropylmalate dehydrogenase
metaspades_NG-14069_923T8_lib221224_5627_NODE_532_length_32087_cov_28.3835_fragment_1_8	metaspades_NG-14069_923T8_lib221224_5627_NODE_532_length_32087_cov_28.3835_fragment_1	K01784	"galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]"	PF01370.21	NAD dependent epimerase/dehydratase family
metaspades_NG-14069_923T8_lib221224_5627_NODE_532_length_32087_cov_28.3835_fragment_1_14	metaspades_NG-14069_923T8_lib221224_5627_NODE_532_length_32087_cov_28.3835_fragment_1	K00795	ispA; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	PF00348.17	Polyprenyl synthetase
