Virus,AAI to closest RaFAH reference,Host genus,Confidence score,List of methods
VIVO4-FEC-JUN22-F5-k141_143170,7.17,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1691,92.60,blast;94.70 iPHoP-RF;64.80
VIVO4-FEC-JUN22-F5-k141_14446,17.46,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,91.00,blast;93.40 iPHoP-RF;73.70
VIVO4-FEC-JUN22-F5-k141_147696,38.73,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lacrimispora,93.10,iPHoP-RF;95.10
VIVO4-FEC-JUN22-F5-k141_147696,38.73,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,92.20,iPHoP-RF;94.40 blast;94.10 CRISPR;52.50
VIVO4-FEC-JUN22-F5-k141_147917,14.43,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella,90.20,blast;92.70 iPHoP-RF;86.00
VIVO4-FEC-JUN22-F5-k141_148014,100.00,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,97.90,blast;98.50 iPHoP-RF;87.30 CRISPR;68.40
VIVO4-FEC-JUN22-F5-k141_148208,99.55,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,93.40,blast;95.30 iPHoP-RF;88.50
VIVO4-FEC-JUN22-F5-k141_149353,4.48,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella,91.40,blast;93.70 iPHoP-RF;78.00
VIVO4-FEC-JUN22-F5-k141_149601,23.95,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,93.00,blast;95.00 iPHoP-RF;71.30
VIVO4-FEC-JUN22-F5-k141_149961,58.56,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,93.20,blast;95.20 iPHoP-RF;88.20
VIVO4-FEC-JUN22-F5-k141_150812,6.77,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella,91.20,blast;93.60 iPHoP-RF;63.80
VIVO4-FEC-JUN22-F5-k141_155990,40.25,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella,96.00,RaFAH;97.20
VIVO4-FEC-JUN22-F5-k141_155990,40.25,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,94.90,iPHoP-RF;96.40 blast;92.50
VIVO4-FEC-JUN22-F5-k141_155990,40.25,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,93.50,iPHoP-RF;95.40 blast;91.60
VIVO4-FEC-JUN22-F5-k141_156268,44.98,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,98.10,iPHoP-RF;96.70 blast;96.60 RaFAH;78.70
VIVO4-FEC-JUN22-F5-k141_156268,44.98,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,96.00,iPHoP-RF;93.40 RaFAH;78.70
VIVO4-FEC-JUN22-F5-k141_156268,44.98,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A,92.20,iPHoP-RF;94.40
VIVO4-FEC-JUN22-F5-k141_156773,54.46,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,94.50,blast;96.10 iPHoP-RF;91.80
VIVO4-FEC-JUN22-F5-k141_158117,4.86,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ,95.20,blast;96.60 iPHoP-RF;70.40
VIVO4-FEC-JUN22-F5-k141_158734,93.43,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,91.40,RaFAH;93.70
VIVO4-FEC-JUN22-F5-k141_158734,93.43,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lacrimispora,91.40,RaFAH;93.70
VIVO4-FEC-JUN22-F5-k141_15875,4.30,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella,92.30,blast;94.50 iPHoP-RF;63.80
VIVO4-FEC-JUN22-F5-k141_159374,66.01,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,93.80,blast;95.60 iPHoP-RF;75.40
VIVO4-FEC-JUN22-F5-k141_159984,52.24,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,99.40,blast;98.60 iPHoP-RF;83.30 RaFAH;80.40
VIVO4-FEC-JUN22-F5-k141_159998,54.15,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus,90.30,blast;92.80 iPHoP-RF;72.40
VIVO4-FEC-JUN22-F5-k141_160702,48.03,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,98.50,CRISPR;98.90 blast;92.10 iPHoP-RF;82.20
VIVO4-FEC-JUN22-F5-k141_160709,57.41,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,94.90,iPHoP-RF;96.40 CRISPR;95.70 blast;93.90
VIVO4-FEC-JUN22-F5-k141_16203,12.54,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,96.00,iPHoP-RF;96.70 RaFAH;57.60
VIVO4-FEC-JUN22-F5-k141_16203,12.54,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A,93.20,blast;95.20 iPHoP-RF;94.10
VIVO4-FEC-JUN22-F5-k141_16203,12.54,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,91.60,iPHoP-RF;92.80 blast;90.50 RaFAH;57.60
VIVO4-FEC-JUN22-F5-k141_162751,13.96,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q,95.90,blast;97.10 iPHoP-RF;68.00
VIVO4-FEC-JUN22-F5-k141_163428,31.51,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,93.50,blast;95.40 iPHoP-RF;63.50
VIVO4-FEC-JUN22-F5-k141_166437,35.95,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,98.40,blast;98.80 iPHoP-RF;88.50
VIVO4-FEC-JUN22-F5-k141_166512,4.60,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.20,blast;93.60 iPHoP-RF;80.80
VIVO4-FEC-JUN22-F5-k141_166515,98.59,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83,94.00,RaFAH;95.80
VIVO4-FEC-JUN22-F5-k141_166515,98.59,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter,94.00,RaFAH;95.80
VIVO4-FEC-JUN22-F5-k141_166515,98.59,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Marseille-P3106,90.00,blast;92.50 iPHoP-RF;59.80
VIVO4-FEC-JUN22-F5-k141_1676,48.62,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,93.40,blast;95.30 iPHoP-RF;92.40
VIVO4-FEC-JUN22-F5-k141_16950,93.98,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,93.90,blast;95.70 iPHoP-RF;83.90
VIVO4-FEC-JUN22-F5-k141_17048,75.16,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,95.20,blast;96.60 iPHoP-RF;85.10
VIVO4-FEC-JUN22-F5-k141_19519,32.93,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,97.30,CRISPR;98.10 iPHoP-RF;95.10 blast;92.40
VIVO4-FEC-JUN22-F5-k141_19519,32.93,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,95.30,CRISPR;96.70 blast;91.30 iPHoP-RF;87.30
VIVO4-FEC-JUN22-F5-k141_19519,32.93,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q,90.30,iPHoP-RF;92.80
VIVO4-FEC-JUN22-F5-k141_19650,54.55,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,93.50,iPHoP-RF;95.40 CRISPR;94.90 blast;92.70
VIVO4-FEC-JUN22-F5-k141_19650,54.55,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,92.00,CRISPR;94.20 iPHoP-RF;62.20
VIVO4-FEC-JUN22-F5-k141_20019,94.64,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,94.70,blast;96.30 iPHoP-RF;89.50
VIVO4-FEC-JUN22-F5-k141_2089,4.44,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,96.00,blast;97.20 iPHoP-RF;75.20
VIVO4-FEC-JUN22-F5-k141_22128,20.88,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.50,blast;93.80 iPHoP-RF;93.40 CRISPR;59.80
VIVO4-FEC-JUN22-F5-k141_22128,20.88,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,91.40,iPHoP-RF;93.70
VIVO4-FEC-JUN22-F5-k141_23360,4.10,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,92.20,blast;94.40 iPHoP-RF;89.80
VIVO4-FEC-JUN22-F5-k141_23625,14.92,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A,93.40,blast;95.30 iPHoP-RF;87.00
VIVO4-FEC-JUN22-F5-k141_23625,14.92,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,91.70,blast;89.70 iPHoP-RF;73.50 RaFAH;70.90
VIVO4-FEC-JUN22-F5-k141_23625,14.92,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,91.70,blast;89.70 RaFAH;70.90 iPHoP-RF;68.00
VIVO4-FEC-JUN22-F5-k141_23693,31.42,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q,91.20,blast;93.60 iPHoP-RF;92.40
VIVO4-FEC-JUN22-F5-k141_24663,11.80,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ,94.00,blast;95.80 iPHoP-RF;74.10
VIVO4-FEC-JUN22-F5-k141_24696,99.33,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.70 blast;89.60 CRISPR;80.40 iPHoP-RF;79.50
VIVO4-FEC-JUN22-F5-k141_24696,99.33,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,94.90,blast;96.40 CRISPR;94.90 iPHoP-RF;71.30
VIVO4-FEC-JUN22-F5-k141_24966,99.93,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter,97.90,blast;98.50 iPHoP-RF;91.80
VIVO4-FEC-JUN22-F5-k141_25291,88.09,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella,96.40,CRISPR;97.50 blast;96.70 iPHoP-RF;89.20
VIVO4-FEC-JUN22-F5-k141_26590,12.49,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Barb7,93.50,iPHoP-RF;95.40
VIVO4-FEC-JUN22-F5-k141_26590,12.49,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Macellibacteroides,92.60,iPHoP-RF;94.70
VIVO4-FEC-JUN22-F5-k141_26590,12.49,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,92.20,iPHoP-RF;94.40
VIVO4-FEC-JUN22-F5-k141_26590,12.49,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__,91.00,iPHoP-RF;93.40
VIVO4-FEC-JUN22-F5-k141_27926,100.00,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.60 iPHoP-RF;97.10 blast;90.50
VIVO4-FEC-JUN22-F5-k141_27926,100.00,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,95.40,blast;96.80 iPHoP-RF;95.70 CRISPR;75.90
VIVO4-FEC-JUN22-F5-k141_2872,65.89,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q,91.40,blast;93.70 iPHoP-RF;91.80 CRISPR;81.20
VIVO4-FEC-JUN22-F5-k141_30691,18.54,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilimaliae,92.90,blast;94.90 iPHoP-RF;58.40
VIVO4-FEC-JUN22-F5-k141_32376,9.64,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia,90.80,blast;93.20
VIVO4-FEC-JUN22-F5-k141_32522,5.91,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.10,blast;93.50 iPHoP-RF;83.30
VIVO4-FEC-JUN22-F5-k141_32522,5.91,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,91.10,blast;93.50 iPHoP-RF;68.40
VIVO4-FEC-JUN22-F5-k141_3262,98.33,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;98.40 blast;96.80 iPHoP-RF;94.70
VIVO4-FEC-JUN22-F5-k141_32859,4.75,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,94.90,blast;96.40 iPHoP-RF;89.80
VIVO4-FEC-JUN22-F5-k141_33517,11.96,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ,90.20,blast;92.70
VIVO4-FEC-JUN22-F5-k141_33639,22.25,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1691,96.20,blast;97.30 iPHoP-RF;65.30
VIVO4-FEC-JUN22-F5-k141_33961,26.38,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,90.30,iPHoP-RF;92.80
VIVO4-FEC-JUN22-F5-k141_34236,94.26,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,94.60,blast;96.20 iPHoP-RF;90.80 CRISPR;81.50
VIVO4-FEC-JUN22-F5-k141_34455,99.23,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella,91.50,blast;93.80 iPHoP-RF;73.90
VIVO4-FEC-JUN22-F5-k141_35872,98.10,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,97.20,blast;90.00 RaFAH;89.90 iPHoP-RF;57.60
VIVO4-FEC-JUN22-F5-k141_35872,98.10,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lacrimispora,93.40,RaFAH;89.90 blast;76.70
VIVO4-FEC-JUN22-F5-k141_36064,65.22,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,95.40,blast;96.80 iPHoP-RF;77.80
VIVO4-FEC-JUN22-F5-k141_37078,5.75,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter,90.20,blast;92.70 iPHoP-RF;76.40
VIVO4-FEC-JUN22-F5-k141_39873,5.50,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,95.90,iPHoP-RF;97.10
VIVO4-FEC-JUN22-F5-k141_39873,5.50,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A,93.90,iPHoP-RF;95.70 blast;91.80
VIVO4-FEC-JUN22-F5-k141_39873,5.50,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,93.90,iPHoP-RF;95.70
VIVO4-FEC-JUN22-F5-k141_40188,100.00,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;98.90 blast;92.00 iPHoP-RF;85.70
VIVO4-FEC-JUN22-F5-k141_4150,10.36,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,94.20,blast;95.90 iPHoP-RF;89.50
VIVO4-FEC-JUN22-F5-k141_41860,27.16,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,93.00,blast;95.00 iPHoP-RF;84.50
VIVO4-FEC-JUN22-F5-k141_41860,27.16,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CHH4-2,91.50,blast;93.80 iPHoP-RF;70.20
VIVO4-FEC-JUN22-F5-k141_42239,25.29,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,92.30,blast;94.50 iPHoP-RF;85.10
VIVO4-FEC-JUN22-F5-k141_42489,99.81,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,100.00,RaFAH;96.90 iPHoP-RF;96.70 blast;96.20
VIVO4-FEC-JUN22-F5-k141_42489,99.81,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A,95.60,RaFAH;96.90 blast;50.40
VIVO4-FEC-JUN22-F5-k141_4269,81.33,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,90.60,blast;93.00 iPHoP-RF;92.80 CRISPR;67.30
VIVO4-FEC-JUN22-F5-k141_43829,92.56,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,97.90,blast;98.50 iPHoP-RF;93.40
VIVO4-FEC-JUN22-F5-k141_45221,98.76,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,92.60,RaFAH;94.70
VIVO4-FEC-JUN22-F5-k141_45221,98.76,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lacrimispora,92.60,RaFAH;94.70
VIVO4-FEC-JUN22-F5-k141_45221,98.76,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755,90.20,blast;92.70
VIVO4-FEC-JUN22-F5-k141_4550,95.40,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,99.10,blast;96.30 RaFAH;90.10 iPHoP-RF;80.30
VIVO4-FEC-JUN22-F5-k141_45628,6.41,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,91.40,blast;93.70 iPHoP-RF;80.60
VIVO4-FEC-JUN22-F5-k141_45628,6.41,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.00,blast;93.40 iPHoP-RF;78.50
VIVO4-FEC-JUN22-F5-k141_46470,89.86,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,94.30,RaFAH;96.00
VIVO4-FEC-JUN22-F5-k141_46470,89.86,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lacrimispora,94.30,RaFAH;96.00 iPHoP-RF;50.20
VIVO4-FEC-JUN22-F5-k141_46470,89.86,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter,91.40,blast;93.70 iPHoP-RF;54.90
VIVO4-FEC-JUN22-F5-k141_46614,8.96,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1691,96.30,CRISPR;97.40 blast;95.00 iPHoP-RF;79.00
VIVO4-FEC-JUN22-F5-k141_4736,61.05,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella,91.00,iPHoP-RF;93.40 blast;93.20 CRISPR;92.30
VIVO4-FEC-JUN22-F5-k141_48284,31.43,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,96.00,blast;97.20 iPHoP-RF;76.10
VIVO4-FEC-JUN22-F5-k141_50751,63.35,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter,90.20,blast;92.70 iPHoP-RF;75.20
VIVO4-FEC-JUN22-F5-k141_52486,12.72,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194,90.60,blast;93.00 iPHoP-RF;71.30
VIVO4-FEC-JUN22-F5-k141_53261,39.65,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,90.20,blast;92.70 iPHoP-RF;91.80 CRISPR;89.80
VIVO4-FEC-JUN22-F5-k141_53528,38.18,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,94.20,blast;95.90 iPHoP-RF;93.40 CRISPR;54.30
VIVO4-FEC-JUN22-F5-k141_54436,97.29,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.30 iPHoP-RF;97.10 blast;96.90
VIVO4-FEC-JUN22-F5-k141_54539,100.00,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,100.00,RaFAH;99.50 blast;98.10 iPHoP-RF;97.10 CRISPR;54.50
VIVO4-FEC-JUN22-F5-k141_54539,100.00,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A,99.40,RaFAH;99.50
VIVO4-FEC-JUN22-F5-k141_56031,7.44,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,97.20,blast;98.00 iPHoP-RF;87.30 CRISPR;66.80
VIVO4-FEC-JUN22-F5-k141_56526,67.74,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.60 iPHoP-RF;97.10 blast;90.00
VIVO4-FEC-JUN22-F5-k141_56526,67.74,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,91.40,blast;93.70 iPHoP-RF;92.10
VIVO4-FEC-JUN22-F5-k141_58279,35.81,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81,97.80,blast;98.40 CRISPR;93.90 iPHoP-RF;87.30
VIVO4-FEC-JUN22-F5-k141_58510,79.54,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81,93.00,blast;95.00 iPHoP-RF;87.00 CRISPR;52.50
VIVO4-FEC-JUN22-F5-k141_5859,4.17,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__An92,91.50,blast;93.80 iPHoP-RF;61.40
VIVO4-FEC-JUN22-F5-k141_58915,45.04,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor,91.10,blast;93.50
VIVO4-FEC-JUN22-F5-k141_60866,85.65,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia,95.20,RaFAH;96.60
VIVO4-FEC-JUN22-F5-k141_60866,85.65,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A,95.20,RaFAH;96.60
VIVO4-FEC-JUN22-F5-k141_60866,85.65,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter,93.90,blast;95.70 iPHoP-RF;61.40
VIVO4-FEC-JUN22-F5-k141_62882,6.01,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,92.30,blast;94.50 iPHoP-RF;65.60
VIVO4-FEC-JUN22-F5-k141_62882,6.01,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lacrimispora,91.60,blast;93.90 iPHoP-RF;76.10
VIVO4-FEC-JUN22-F5-k141_65086,7.34,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,94.90,blast;96.40 iPHoP-RF;81.40
